size,algorithm,avg_num_bars,std_num_bars,avg_total_waste,std_total_waste,avg_execution_time_ms,std_execution_time_ms,avg_memory_kb,std_memory_kb
20,Genetic,11.4,2.8000000000000003,13.2,12.952219886953744,255.43699264526367,32.07828526484055,728.7778125,124.52609558576845
20,Greedy_FFD,11.4,2.8000000000000003,13.2,12.952219886953744,0.015106201171875,0.008361358264568259,1.8165625,0.7356342926345943
50,Genetic,26.6,0.48989794855663565,9.2,2.3151673805580453,559.1991138458252,12.920328623351653,1704.9615625,29.28420350299266
50,Greedy_FFD,26.6,0.48989794855663565,9.2,2.3151673805580453,0.03773689270019531,0.0055732942459348145,3.965625,0.06123724356957946
100,Genetic,52.2,2.3151673805580453,16.0,12.083045973594572,1211.8126678466797,29.355600332309052,3298.353125,82.75630596370172
100,Greedy_FFD,52.2,2.3151673805580453,16.0,12.083045973594572,0.10325431823730469,0.009513091322069525,7.75,0.32775276505317236
200,Genetic,100.8,5.3814496188294845,21.4,12.98614646459834,3046.761302947998,79.17076407352134,6359.3809375,261.8234766147616
200,Greedy_FFD,100.8,5.3814496188294845,21.4,12.98614646459834,0.32924652099609375,0.012838432930700038,16.253125,0.9793223502121251
