size,greedy_avg_bars,genetic_avg_bars,improvement_bars_%,greedy_avg_waste,genetic_avg_waste,improvement_waste_%,greedy_avg_time_ms,genetic_avg_time_ms,time_ratio
20,11.4,11.4,0.0,13.2,13.2,0.0,0.015106201171875,255.43699264526367,16909.41287878788
50,26.6,26.6,0.0,9.2,9.2,0.0,0.03773689270019531,559.1991138458252,14818.366691938338
100,52.2,52.2,0.0,16.0,16.0,0.0,0.10325431823730469,1211.8126678466797,11736.193590098826
200,100.8,100.8,0.0,21.4,21.4,0.0,0.32924652099609375,3046.761302947998,9253.738790406675
